Subpartida Arancelaria,Descripción Arancelaria,CIIU Rev. 4 A.C (2021),División,Grupo,Clase,Descripción
101101000,"Caballos reproductores de raza pura, vivos",142.0,,,142.0,Cría de caballos y otros equinos
101102000,Asnos reproductores de raza pura,142.0,,,142.0,Cría de caballos y otros equinos
101109000,"Asnos, mulos y burdéganos, reproductores de raza pura, vivos",142.0,,,142.0,Cría de caballos y otros equinos
101110000,"Caballos reproductores de raza pura, vivos",142.0,,,142.0,Cría de caballos y otros equinos
101191000,Caballos para carreras,142.0,,,142.0,Cría de caballos y otros equinos
101199000,"Los demás caballos de raza pura, vivos",142.0,,,142.0,Cría de caballos y otros equinos
101199010,Caballos para polo,142.0,,,142.0,Cría de caballos y otros equinos
101199090,"Los demás caballos, vivos",142.0,,,142.0,Cría de caballos y otros equinos
101200000,"Asnos, mulos y burdéganos, vivos",142.0,,,142.0,Cría de caballos y otros equinos
101210000,"Caballos reproductores de raza pura, vivos",142.0,,,142.0,Cría de caballos y otros equinos
101291000,Caballos para carrera vivos,142.0,,,142.0,Cría de caballos y otros equinos
101299000,Los demás caballos vivos,142.0,,,142.0,Cría de caballos y otros equinos
101300000,Asnos vivos,142.0,,,142.0,Cría de caballos y otros equinos
101900000,"Mulos y Burdéganos, vivos",142.0,,,142.0,Cría de caballos y otros equinos
101901100,Caballos para carrera vivos,142.0,,,142.0,Cría de caballos y otros equinos
101901900,Los demás caballos vivos,142.0,,,142.0,Cría de caballos y otros equinos
101909000,"Asnos, mulos y burdéganos",142.0,,,142.0,Cría de caballos y otros equinos
102100000,"Reproductores de raza pura, de la especie bovina",141.0,,,141.0,Cría de ganado bovino y bufalino
102100010,"Reproductores de raza pura, de la especie bovina, hembras",141.0,,,141.0,Cría de ganado bovino y bufalino
102100020,"Reproductores de raza pura, de la especie bovina, machos",141.0,,,141.0,Cría de ganado bovino y bufalino
102210010,"Bovinos domésticos vivos reproductores de raza pura, hembras",141.0,,,141.0,Cría de ganado bovino y bufalino
102210020,"Bovinos domésticos vivos reproductores de raza pura, machos",141.0,,,141.0,Cría de ganado bovino y bufalino
102291000,Bovinos domésticos vivos para lidia,141.0,,,141.0,Cría de ganado bovino y bufalino
102299010,"Los demás bovinos domésticos vivos, hembras",141.0,,,141.0,Cría de ganado bovino y bufalino
102299020,"Los demás bovinos domésticos vivos, machos",141.0,,,141.0,Cría de ganado bovino y bufalino
102310010,"Búfalos reproductores de raza pura ""hembras""",141.0,,,141.0,Cría de ganado bovino y bufalino
102310020,"Búfalos reproductores de raza pura ""machos""",141.0,,,141.0,Cría de ganado bovino y bufalino
102390010,"Los demás búfalos vivos ""hembras""",141.0,,,141.0,Cría de ganado bovino y bufalino
102390020,"Los demás búfalos vivos ""machos""",141.0,,,141.0,Cría de ganado bovino y bufalino
102900010,"Los demás animales vivos de la especie bovina ""hembras""",141.0,,,141.0,Cría de ganado bovino y bufalino
102900020,"Los demás animales vivos de la especie bovina ""machos""",141.0,,,141.0,Cría de ganado bovino y bufalino
102901000,"Animales vivos de la especie bovina, para lidia",141.0,,,141.0,Cría de ganado bovino y bufalino
102909000,Los demás animales vivos de la especie bovina,141.0,,,141.0,Cría de ganado bovino y bufalino
102909010,"Los demás animales vivos de la especie bovina, hembras",141.0,,,141.0,Cría de ganado bovino y bufalino
