"","lat","lng","nOMBRE"
"1",11.0047766,-74.8032327,"Hotel Estelar, Barranquilla - Colombia"
"2",11.0047766,-74.8032327,"Hotel Estelar, Barranquilla - Colombia"
"3",11.0162339,-74.8276701,"Hotel Crowne Plaza, Barranquilla - Colombia"
"4",11.0162339,-74.8276701,"Hotel Crowne Plaza, Barranquilla - Colombia"
"5",11.0099732,-74.8251631,"Hotel Movich Buró 51, Barranquilla - Colombia"
"6",11.0099732,-74.8251631,"Hotel Movich Buró 51, Barranquilla - Colombia"
"7",11.0099732,-74.8251631,"Hotel Movich Buró 51, Barranquilla - Colombia"
"8",11.012932,-74.826982,"Hotel Dann Carlton, Barranquilla - Colombia"
"9",11.012932,-74.826982,"Hotel Dann Carlton, Barranquilla - Colombia"
"10",11.012932,-74.826982,"Hotel Dann Carlton, Barranquilla - Colombia"
"11",11.0159147,-74.8315001,"Hotel Hilton Garden Inn Barranquilla, Barranquilla - Colombia"
"12",11.0159147,-74.8315001,"Hotel Hilton Garden Inn Barranquilla, Barranquilla - Colombia"
"13",11.0159147,-74.8315001,"Hotel Hilton Garden Inn Barranquilla, Barranquilla - Colombia"
"14",11.0171239,-74.8403503,"Hotel Marriot, Barranquilla - Colombia"
"15",11.0171239,-74.8403503,"Hotel Marriot, Barranquilla - Colombia"
"16",11.0171239,-74.8403503,"Hotel Marriot, Barranquilla - Colombia"
"17",10.9987706,-74.8001521,"Hotel El Prado, Barranquilla - Colombia"
"18",10.9987706,-74.8001521,"Hotel El Prado, Barranquilla - Colombia"
"19",10.9987706,-74.8001521,"Hotel El Prado, Barranquilla - Colombia"
"20",11.0140596,-74.8369364,"Hotel GHL Collection, Barranquilla - Colombia"
"21",11.0140596,-74.8369364,"Hotel GHL Collection, Barranquilla - Colombia"
"22",11.0140596,-74.8369364,"Hotel GHL Collection, Barranquilla - Colombia"
"23",11.005291,-74.809884,"Hotel Four Points by Sheraton Barranquilla, Barranquilla - Colombia"
"24",11.005291,-74.809884,"Hotel Four Points by Sheraton Barranquilla, Barranquilla - Colombia"
"25",11.005291,-74.809884,"Hotel Four Points by Sheraton Barranquilla, Barranquilla - Colombia"
"26",11.0038403,-74.8222378,"Hotel Wyndham Garden Barranquilla, Barranquilla - Colombia"
"27",11.0038403,-74.8222378,"Hotel Wyndham Garden Barranquilla, Barranquilla - Colombia"
"28",11.0038403,-74.8222378,"Hotel Wyndham Garden Barranquilla, Barranquilla - Colombia"
"29",11.0193462,-74.8362324,"Hotel Holiday Inn Express Barranquilla, Barranquilla - Colombia"
"30",11.0193462,-74.8362324,"Hotel Holiday Inn Express Barranquilla, Barranquilla - Colombia"
"31",11.0193462,-74.8362324,"Hotel Holiday Inn Express Barranquilla, Barranquilla - Colombia"
"32",11.0032311,-74.8208606,"Hotel Park Inn by Radisson, Barranquilla - Colombia"
"33",11.0032311,-74.8208606,"Hotel Park Inn by Radisson, Barranquilla - Colombia"
"34",11.0032311,-74.8208606,"Hotel Park Inn by Radisson, Barranquilla - Colombia"
"35",11.0036823,-74.8165631,"Hotel Dorado Plaza, Barranquilla - Colombia"
"36",11.0036823,-74.8165631,"Hotel Dorado Plaza, Barranquilla - Colombia"
